PDB,RES
5VSG,1.1
2OL9,0.85
6MVZ,0.83
6MW1,0.77
6MW0,0.78
6MW2,0.77
6ODG,1
6C3T,1
6EVH,0.9
6EEX,1.1
2IZQ,0.8
1A0M,1.1
1A7Z,0.95
1A7Y,0.94
1AA5,0.89
1AKG,1.1
1ALZ,0.86
1BYZ,0.9
1C0R,1
1C0Q,1
1ITT,1
1W7Q,1.1
1QOW,1.06
1QD8,1
1QFI,0.91
1M24,0.9
1SHO,1.09
1ETN,0.89
1ETM,0.89
1ETL,0.89
1GHG,0.98
1GO6,0.98
2BFI,1.1
1XY1,1.04
1OB7,0.89
1OB6,0.89
1OB4,0.95
1PEN,1.1
1W3M,1
2YGI,0.8
2YGJ,0.8
3SBN,0.9
2XJH,0.92
2XJI,1
2Y5M,1.08
4OLR,1.1
4M6E,0.95
4NAG,0.81
5EMG,1.06
5D9E,0.859
3HYD,1
3MBU,1.05
3NJW,0.86
3AL1,0.75
4G13,0.8
4G14,1.09
4TUT,0.9
4UBY,1
4UBZ,1.001
5I6A,0.813
4Z0W,1.1
5N9H,0.997
4K7T,1.1
4W5L,1
4W71,1
4W67,1.001
4HP2,0.64
4D5M,0.85
4E0K,0.97
5WIA,1.002
5WHN,1.1
5WHP,1
6FG4,1.1
5ZGL,0.95
6ANN,0.76
6ANM,0.64
6BTK,1.1
6BWZ,1.1
6BXV,1.1
6BXX,1.1
6CB9,1.1
5M2K,1
5M2H,0.95
5OQZ,0.806
6TOV,0.767
6DIX,1
6DIY,0.9
6DKZ,0.99
6DL1,1.029
1E9W,1.02
1HH3,1
1HHU,0.89
1HHZ,0.99
1HHY,0.89
1HJE,0.75
5MAS,0.84
2HS1,0.84
5NVG,1.07
2VB1,0.65
3K34,0.9
3W7Y,0.92
1F86,1.1
5JDT,1
4I8H,0.75
6JGJ,0.78
2W72,1.07
2CE2,1
1OEW,0.9
6Q4G,0.98
4A7U,0.98
2O5G,1.08
5YCE,0.77
6B8F,1.06
5ELB,1.08
6ETL,0.85
2F01,0.85
4QB3,0.94
3FSA,0.98
2X9G,1.1
3E2O,1.06
1NLS,0.94
3WAR,1.04
3W07,1.03
2NWD,1.04
6DYF,1.1
4CVR,1.1
2FFY,1.07
1RG8,1.1
4CE8,0.9
5J93,1.1
1G6X,0.86
5P9V,1.04
2OB3,1.04
6GX2,1.07
6E1Z,1.1
3WA2,1.08
1M40,0.85
4PSS,0.849
1US0,0.66
4RJ2,0.99
4PNO,0.97
2JHF,1
3G46,0.91
1MUW,0.86
4UA6,0.79
5X9L,0.9
6S1H,1.05
5BT3,1.05
1Y93,1.03
4N0K,1.05
1JBE,1.08
4HUA,1.1
3IQU,1.05
3LB2,1.06
4X5P,0.997
5M2T,1.03
6NNR,1.05
2PWA,0.83
6J64,0.95
6C1X,1.05
3L8W,1
5P9J,1.08
1KMV,1.05
3R40,1.05
6R1D,1.1
2QMT,1.05
4RWC,1.05
4PE0,1.08
3U7Q,1
1Z2U,1.1
2FN3,1
2DKO,1.06
2PPN,0.92
2G58,0.98
3SU6,1.1
2RK3,1.05
5LVO,1.09
1NWZ,0.82
4X6H,1
1T8K,1.1
3ZSJ,0.86
6T02,1.1
1O5X,1.1
6ENI,1.1
5IG6,0.91
3IP0,0.89
5U3A,0.95
2OV0,0.75
1OE1,1.04
5WGI,1.05
4C1H,1.1
2XU3,0.9
5WS7,1
1X8P,0.85
6BQA,1.031
3QZR,1.039
2BW4,0.9
6Q7D,0.978
3NED,0.95
4OO4,0.97
3BVX,1.1
4O8H,0.85
2OIZ,1.05
5EL9,1.1
5A71,0.91
3P6D,1.06
4AOH,1.041
2BT9,0.94
5OAZ,1.03
4JOK,1.09
2GG2,1
3AH9,1.08
1N40,1.06
3QPA,0.85
5TVY,1
2H5C,0.82
5DGJ,1
1O7J,1
3I06,1.1
2YKZ,0.84
3EWW,1.1
5N8B,1.03
3B64,1.03
3AKQ,0.97
1LNI,1
6R4Z,1.052
1N9B,0.9
5OAV,0.95
4A29,1.1
1R0R,1.1
1WY3,0.95
4PLZ,1.05
5O45,0.99
4RBX,1.1
4AFF,1.05
1IX9,0.9
3O5Q,0.96
5QU8,0.93
4O6U,0.89
5NCG,1.02
2NLS,0.98
6EUW,1
4E9S,1.06
3NGP,1.084
3Q46,0.99
6N59,1.02
6JK2,1.06
6TM3,1.08
1Y55,1
5AE0,1.04
2I5V,1.1
1KT6,1.1
3X1X,1
6EQE,0.92
6RI6,0.93
3U8I,1.1
5A1I,1.09
3O1N,1.03
6QJL,1.043
1VYR,0.9
2V3I,1.05
6J93,0.95
5M17,1.03
2GZ5,1.1
6I03,1.02
1G4I,0.97
4YAA,1.05
4ZA9,1.01
1R2Q,1.05
3RZN,1.1
3G9X,0.95
6IFP,1
4K8Y,1
3E8M,1.1
2AU7,1.05
1JFB,1
1PJX,0.85
2ZQ7,0.94
5OGJ,1.06
4XOT,1.06
5Y0M,1.03
5A0Y,1.1
5LP9,0.8863
3L5L,1.03
1IRO,1.1
5GZC,1.08
3CCD,1
1CC8,1.02
3FMU,1.04
5NW3,0.59
1LS1,1.1
2CI1,1.08
4MAK,1.1
1ZK4,1
5IDB,1
3DK9,0.95
6I3B,1
1P1X,0.99
6S2M,0.72
3NOQ,1
5F82,0.96
3S6E,0.95
3NIR,0.48
4TKB,0.86
5II8,0.99
2QOL,1.07
4KGD,1.06
1NKD,1.09
4WPK,0.98
2XMJ,1.08
5LJP,1.1
5XVT,0.85
6HMQ,0.97
3SZH,1.07
4CNN,1
4GJZ,1.048
1GCI,0.78
1W23,1.08
1MJ5,0.95
4REK,0.74
6KGI,1.04
4CO3,1.05
6MAP,1.08
5CKL,0.99
4U9H,0.89
4W7L,1.05
3V0D,1.1
3X34,0.76
4NPD,0.9
6MM2,1.04
1CXQ,1.02
6FMC,0.9
3X0I,0.91
6FNK,1.049
1RTQ,0.95
3ZIY,1.01
4R5R,0.96
5HBS,0.89
7A3H,0.95
