PDB,RES
5VSG,1.1
2OL9,0.85
6MVZ,0.83
6MW1,0.77
6MW0,0.78
6MW2,0.77
6ODG,1
6C3T,1
5O0Z,1.28
6B17,1.25
6EVH,0.9
6EEX,1.1
2IZQ,0.8
1A0M,1.1
1A7Z,0.95
1A7Y,0.94
1AA5,0.89
1AL4,1.13
1AKG,1.1
1ALZ,0.86
1ALX,1.2
1BYZ,0.9
1C0R,1
1C0Q,1
1ITT,1
2DPQ,1.25
1NOT,1.2
1W7Q,1.1
1QOW,1.06
1PYZ,1.25
1QD8,1
1QFI,0.91
1M24,0.9
1SHO,1.09
1T7H,1.13
1ETN,0.89
1ETM,0.89
1ETL,0.89
1GHG,0.98
1G9W,1.3
1GO6,0.98
2BFI,1.1
1XY1,1.04
1XY2,1.2
1YJO,1.3
1OB7,0.89
1OB6,0.89
1OB4,0.95
1PEN,1.1
1V4F,1.26
1V7H,1.25
1V6Q,1.25
1W3M,1
1W5U,1.14
2YGI,0.8
2YGJ,0.8
3SBN,0.9
2XJH,0.92
2XJI,1
2Y5M,1.08
2Y6N,1.26
4AXY,1.24
5AWL,1.11
4NIO,1.3
4OLR,1.1
4M6E,0.95
4NAG,0.81
5E5V,1.24
5EMG,1.06
5D9E,0.859
3PZZ,1.29
3HYD,1
3MBU,1.05
3MD4,1.15
3NJW,0.86
3AL1,0.75
3L8L,1.25
4G13,0.8
4G14,1.09
4TTK,1.25
4TUT,0.9
4UBY,1
4UBZ,1.001
5I6A,0.813
4Z0W,1.1
5N9H,0.997
4K7T,1.1
4W5L,1
4W5M,1.2
4W5P,1.151
4W71,1
4W67,1.001
4W5Y,1.122
4WBU,1.15
4HP2,0.64
4D5M,0.85
4E0K,0.97
5WIA,1.002
5WHN,1.1
5WHP,1
5WIQ,1.25
6FG4,1.1
5ZCK,1.271
5ZGL,0.95
6ANN,0.76
6ANM,0.64
6CEW,1.2
6BTK,1.1
6BWZ,1.1
6BXV,1.1
6BXX,1.1
6CB9,1.1
5TXJ,1.13
5M2K,1
5M2H,0.95
5OQZ,0.806
6TOV,0.767
6DIX,1
6DIY,0.9
6DJ0,1.3
6DKZ,0.99
6DKY,1.239
6DL1,1.029
6DL0,1.2
6M7M,1.101
1E9W,1.02
1HHC,1.13
1HH3,1
1HHU,0.89
1HHZ,0.99
1HHY,0.89
1HJE,0.75
1HQJ,1.2
5MAS,0.84
4NZU,1.2
2HS1,0.84
5NVG,1.07
2VB1,0.65
4B1Y,1.29
3K34,0.9
3W7Y,0.92
1F86,1.1
5JDT,1
6UWP,1.29
4I8H,0.75
6JGJ,0.78
2W72,1.07
2CE2,1
6I69,1.2
1OEW,0.9
6Q4G,0.98
5NG9,1.15
4A7U,0.98
2O5G,1.08
5YCE,0.77
5AFY,1.12
6B8F,1.06
5ELB,1.08
6ETL,0.85
2F01,0.85
4QB3,0.94
1NUW,1.3
5N1F,1.12
6SP9,1.22
5Q22,1.18
6B1K,1.17
3FSA,0.98
2X9G,1.1
6H10,1.104
4TRP,1.25
3E2O,1.06
3D06,1.2
2IJ2,1.2
1NLS,0.94
3WAR,1.04
3W07,1.03
4N1M,1.15
2NWD,1.04
6DYF,1.1
4CVR,1.1
2FFY,1.07
1RG8,1.1
5JVI,1.12
4CE8,0.9
5J80,1.17
5J93,1.1
5ZIM,1.25
1G6X,0.86
6Q9L,1.13
6OC7,1.296
5P9V,1.04
2OB3,1.04
4L4E,1.261
6GX2,1.07
2V2P,1.15
6E1Z,1.1
3WA2,1.08
1M40,0.85
3AK8,1.25
4PSS,0.849
1US0,0.66
5N6F,1.119
5YC6,1.18
4RJ2,0.99
5J41,1.19
2JKH,1.25
4QYN,1.19
4PNO,0.97
4YWA,1.192
2JHF,1
3G46,0.91
4FGL,1.2
2YEX,1.3
1MUW,0.86
4UA6,0.79
5X9L,0.9
6S1H,1.05
5BT3,1.05
4YSE,1.2
1Y93,1.03
2J6L,1.3
6ATR,1.29
5C0Z,1.124
4N0K,1.05
2J27,1.15
1JBE,1.08
4HUA,1.1
3IQU,1.05
2E6F,1.26
3LB2,1.06
4X5P,0.997
5M2T,1.03
6NNR,1.05
3PIB,1.154
2PWA,0.83
4CK4,1.12
6J64,0.95
3B0T,1.3
6C1X,1.05
3KFA,1.22
1MEX,1.25
5B5O,1.2
6R2W,1.25
1I0V,1.234
3L8W,1
5P9J,1.08
1KMV,1.05
3R40,1.05
6R1D,1.1
6PZD,1.12
3TG0,1.2
2WPZ,1.25
4B0H,1.18
5NJ2,1.19
2QMT,1.05
2G7B,1.18
4OOX,1.2
5VI6,1.237
4RWC,1.05
4PE0,1.08
2J32,1.3
3U7Q,1
1Z2U,1.1
6Q5H,1.2
5INB,1.3
6N4L,1.13
2FN3,1
2DKO,1.06
2PPN,0.92
4CRG,1.25
2G58,0.98
3SU6,1.1
5MSA,1.2
2RK3,1.05
5LVO,1.09
2AEB,1.29
1NCW,1.3
5C4M,1.3
1NWZ,0.82
3SXX,1.27
3F0D,1.2
4R1V,1.2
4Z65,1.25
5NAT,1.17
6QXU,1.2
5MWZ,1.25
4X6H,1
1T8K,1.1
3ZSJ,0.86
4OQV,1.23
6T02,1.1
1O5X,1.1
4WDC,1.29
1NWW,1.2
4Q27,1.2
3G3K,1.24
4XEZ,1.247
5CGQ,1.18
6ENI,1.1
3U9W,1.25
5IG6,0.91
3Q39,1.25
1S1P,1.2
3PX8,1.29
1DBF,1.3
3BON,1.2
3IP0,0.89
4C6A,1.25
5U69,1.28
5U3A,0.95
2OV0,0.75
1OE1,1.04
5WGI,1.05
4PF4,1.13
4C1H,1.1
1MJN,1.3
2XU3,0.9
5WS7,1
1JL1,1.3
1X8P,0.85
4UQL,1.22
6BQA,1.031
3QZR,1.039
2BW4,0.9
6Q7D,0.978
4ZUR,1.13
3NED,0.95
6RQQ,1.276
5GHX,1.24
4OO4,0.97
1MJU,1.22
3BVX,1.1
1TO2,1.3
6CAX,1.25
4O8H,0.85
