PDB,RES,CLASS,COMPLEX,RVALUE,RFREE,STRUCFAC,CHAINS,RESIDUES,DATE,COMMENTS
131D,1,DNA,N,0.180,NULL,N,AB,12,18-JUN-93,NA
145D,1.3,DNA,N,0.193,NULL,Y,A,16,11-NOV-93,NA
1A0M,1.1,ACETYLCHOLINERECEPTORANTAGONIST,N,0.161,0.178,Y,AB,32,03-DEC-97,NA
1A6G,1.1,HEMEPROTEIN,N,0.128,0.160,Y,A,151,25-FEB-98,NA
1A7S,1.1,SERINEPROTEASEHOMOLOG,N,NULL,0.189,Y,A,221,17-MAR-98,NA
1A7Y,0.94,ANTIBIOTIC,N,0.057,0.068,Y,ABC,12,19-MAR-98,NA
1A7Z,0.95,ANTIBIOTIC,N,0.081,0.097,Y,AB,2,19-MAR-98,NA
1AA5,0.89,ANTIBIOTIC,N,0.124,NULL,Y,AB,2,23-JAN-97,NA
1AGY,1.1,SERINEESTERASE,N,0.175,0.197,Y,A,197,26-MAR-97,NA
1AHO,0.96,NEUROTOXIN,N,NULL,NULL,Y,A,64,08-APR-97,NA
1AKG,1.1,ACETYLCHOLINERECEPTORANTAGONIST,N,0.147,0.157,Y,A,16,18-MAY-97,NA
1AL4,1.1,ANTIBIOTIC,N,0.087,0.121,Y,AB,16,11-JUN-97,NA
1ALX,1.2,ANTIBIOTIC,N,0.102,0.168,Y,A,16,05-JUN-97,NA
1ALZ,0.86,ANTIBIOTIC,N,0.162,0.185,Y,A,16,06-JUN-97,NA
1AMM,1.2,CRYSTALLIN,N,NULL,NULL,N,A,174,20-MAR-96,NA
1ARB,1.2,HYDROLASE(SERINEPROTEASE),N,0.149,NULL,N,A,263,15-APR-93,NA
1ATG,1.2,BINDINGPROTEIN,N,NULL,0.183,Y,A,231,14-AUG-97,NA
1B0Y,0.93,ELECTRONTRANSPORT,N,0.155,0.205,Y,A,85,15-NOV-98,NA
1B6G,1.1,HYDROLASE,N,0.105,0.145,N,A,308,14-JAN-99,NA
1B9O,1.1,CALCIUM-BINDINGPROTEIN,N,0.119,0.162,Y,A,123,14-FEB-99,NA
1BKR,1.1,ACTIN-BINDING,N,NULL,0.187,Y,A,108,10-JUL-98,NA
1BX7,1.2,ANTI-COAGULANT,N,0.180,0.225,Y,A,51,14-OCT-98,NA
1BXO,0.95,HYDROLASE,Y,0.100,0.125,Y,A,323,07-OCT-98,NA
1BYI,0.97,LIGASE,N,NULL,NULL,Y,A,224,15-OCT-98,NA
1BYZ,0.9,DENOVOPROTEIN,N,0.086,0.105,Y,ABCD,48,20-OCT-98,NA
1C0P,1.2,OXIDOREDUCTASE,Y,0.125,0.150,Y,A,363,19-JUL-99,NA
1C0Q,1,ANTIBIOTIC,Y,NULL,0.139,N,AB,2,20-JUL-99,NA
1C0R,1,ANTIBIOTIC,Y,NULL,0.142,N,AB,2,20-JUL-99,NA
1C1D,1.3,OXIDOREDUCTASE,Y,0.195,0.238,N,A,697,21-JUL-99,NA
1C52,1.3,ELECTRONTRANSPORTPROTEIN,N,0.191,0.224,N,A,131,23-JUN-97,NA
1C58,0.99,CARBOHYDRATE,N,0.082,0.100,N,AB,0,04-NOV-99,NA
1C5E,1.1,VIRALPROTEIN,N,0.098,0.133,Y,ABC,285,18-NOV-99,NA
1C75,0.97,ELECTRONTRANSPORT,N,0.116,NULL,Y,A,71,09-FEB-00,NA
1C7K,1,HYDROLASE,N,0.154,0.178,Y,A,132,19-FEB-00,NA
1C9O,1.2,TRANSCRIPTION,N,0.125,0.179,Y,AB,132,03-AUG-99,NA
1CBN,0.83,PLANTSEEDPROTEIN,N,0.106,NULL,N,A,46,11-OCT-91,NA
1CC8,1,METALTRANSPORT,N,0.141,0.172,N,A,72,04-MAR-99,NA
1CEX,1,SERINEESTERASE,N,0.094,0.119,Y,A,197,18-FEB-97,NA
1CKU,1.2,ELECTRONTRANSFERPROTEIN,N,0.128,0.178,Y,AB,170,24-APR-99,NA
1CTJ,1.1,ELECTRONTRANSPORT,N,0.140,0.188,Y,A,89,08-AUG-95,NA
1CTQ,1.3,SIGNALINGPROTEIN,Y,0.177,0.224,Y,A,166,20-AUG-99,NA
1CXQ,1,TRANSFERASE,N,0.129,0.157,Y,A,143,30-AUG-99,NA
1CY5,1.3,APOPTOSIS,N,NULL,0.199,N,A,93,31-AUG-99,NA
1CZ9,1.2,TRANSFERASE,N,0.146,0.150,Y,A,139,01-SEP-99,NA
1CZP,1.2,ELECTRONTRANSPORT,N,0.143,0.184,Y,AB,196,06-SEP-99,NA
1D11,1.2,DNA,N,0.175,NULL,N,A,6,20-OCT-89,NA
1D35,1.3,DNA,N,0.174,NULL,N,A,5,23-APR-91,NA
1D39,1.2,DNA,N,0.198,NULL,Y,AB,12,07-MAY-91,NA
1D40,1.3,DNA,N,0.209,NULL,Y,AB,8,07-MAY-91,NA
1D41,1.3,DNA,N,0.208,NULL,Y,AB,8,07-MAY-91,NA
1D48,1,DNA,N,0.185,NULL,N,AB,12,11-SEP-91,NA
1D4O,1.2,OXIDOREDUCTASE,N,0.167,0.223,Y,A,177,04-OCT-99,NA
1D4T,1.1,SIGNALINGPROTEIN,Y,0.127,0.165,Y,A,115,06-OCT-99,NA
1D5T,1,HYDROLASEINHIBITOR,N,NULL,0.208,Y,A,433,11-OCT-99,NA
1D61,1.3,DNA,N,0.152,NULL,Y,A,10,26-FEB-92,NA
1D76,1.3,DNA,N,0.138,NULL,Y,AB,10,19-MAY-92,NA
1D8G,0.74,DNA,N,0.105,0.131,Y,A,10,23-OCT-99,NA
1D8X,1.2,DNA,N,0.188,0.246,Y,AB,20,26-OCT-99,NA
1DBF,1.3,ISOMERASE,N,0.169,0.235,Y,ABC,381,02-NOV-99,NA
1DC0,1.3,DNA,N,0.172,0.190,Y,AB,24,03-NOV-99,NA
1DCG,1,DNA,N,0.175,NULL,N,AB,12,29-AUG-88,NA
1DCS,1.3,OXIDOREDUCTASE,N,NULL,0.150,Y,A,279,05-JUN-98,NA
1DG6,1.3,APOPTOSIS,N,NULL,0.197,Y,A,149,23-NOV-99,NA
