PDB,RES
5BK7,2.196
5QDE,1.764
5QDF,1.712
5QDG,1.79
5QDH,1.682
5QDI,1.623
5QDJ,1.761
5QDK,1.555
5QDL,1.833
5QDM,2.647
5QDN,1.821
5QDO,1.792
5QDP,1.744
5QDQ,1.575
5QDR,1.784
5QDS,1.751
5QDT,1.821
5QDU,1.672
5QDV,1.773
5QDW,2.212
5QDX,2.062
5QDY,1.835
5QDZ,2.141
5QE0,1.98
5QE1,1.685
5QE2,1.787
5QE3,1.742
5QE4,1.852
5QE5,1.773
5QE6,1.774
5QE7,1.713
5QE8,1.813
5QE9,1.692
5QEA,1.743
5QEB,1.733
5QED,1.755
5QEE,1.932
5QEG,1.97
5QEH,1.941
5QEI,1.743
5QEJ,1.924
5QEK,1.904
5QEL,1.654
5QEM,1.754
5QEN,1.775
5QEO,1.721
5QEP,1.774
5QEQ,1.972
5QER,1.733
5QES,1.745
5QET,1.724
5QEU,1.735
5QEV,1.723
5QEW,1.826
5QEX,1.673
5QEY,1.775
5QEZ,1.654
5QF0,1.707
5QF1,1.844
5QF2,1.772
5QF3,1.563
5QF4,1.832
5QF5,1.725
5QF6,1.765
5QF7,1.75
5QF8,1.987
5QF9,1.94
5QFA,1.742
5QFB,1.851
5QFC,1.841
5QFD,1.693
5QFE,1.563
5QFF,1.703
5QFG,1.654
5QFH,1.591
5QFI,1.68
5QFJ,1.954
5QFL,1.824
5QFM,1.83
5QFN,1.675
5QFO,1.851
5QFP,1.771
5QFQ,1.621
5QFR,1.622
5QFS,1.853
5QFT,1.96
5QFU,1.613
5QFV,1.641
5QFW,1.662
5QFX,1.824
5QFY,1.769
5QFZ,1.723
5QG0,1.753
5QG1,2.209
5QG2,2.122
5QG4,1.788
5QG5,2.07
5QG6,1.734
5QG7,1.811
5QG8,1.634
5QG9,1.671
5QGA,1.653
5QGB,1.552
5QGC,1.586
5QGD,1.661
5QGE,1.703
5QGG,1.91
5QGH,1.82
5QGI,1.95
5QGJ,1.95
5QGK,1.81
5QGL,2.27
5QGM,1.96
5QGN,1.95
5QGO,1.82
5QGP,2.09
5QGQ,1.95
5QGR,1.96
5QGT,1.97
5QGU,1.71
5QGV,1.59
5QGW,1.94
5QGX,1.61
5QGY,1.72
5QGZ,1.65
5QH1,1.65
5QH2,1.74
5QH3,1.65
5QH4,1.67
5QH5,1.85
5QH6,2
5QH7,1.74
5QH8,1.75
5QH9,1.72
5QHC,2.21
5QHE,1.74
5QHF,1.67
5QHG,1.92
5QHH,1.52
5QHI,1.73
5QHJ,1.68
5QHK,1.61
5QHM,1.79
5QHN,1.73
5QHO,1.66
5QHP,2.06
5QHQ,1.96
5QHR,1.68
5QHS,1.95
5QHW,1.12
5QHX,1.11
5QHY,1.17
5QHZ,1.15
5QI2,1.08
5QI4,1.2
5QI6,1.1
5QI7,1.05
5QI8,1.09
5QIA,1.14
5QIB,1.48
5QIC,1.34
5QID,1.45
5QIG,1.42
5QII,2.45
5QIJ,2.65
5QIK,1.58
5QIL,1.98
5QIM,1.75
5QIN,1.57
5QIP,1.63
5QIQ,1.44
5QIR,1.43
5QIS,1.53
5QIT,1.46
5QIU,1.56
5QIW,1.71
5QIX,1.39
5QIY,1.58
5QIZ,1.63
5QJ0,2.08
5QJ1,2.17
5QJ2,2.82
5QJ3,2.76
5QJ4,1.89
5QJ5,1.72
5QJ6,1.65
5QJ7,1.56
5QJ8,1.76
5QJ9,1.85
5QJA,1.64
5QJB,1.66
5QJD,1.61
5QJE,1.75
5QJF,1.63
5QJG,1.57
5QJH,2.03
5QJI,1.69
5QJJ,1.71
5QJK,1.65
5QJL,1.66
5QJM,1.75
5QJN,1.77
5QJO,1.98
5QJQ,1.55
5QJR,1.62
5QJT,1.62
5QJU,1.77
5QJV,1.61
5QJW,1.57
5QJX,1.73
5QJY,1.77
5QJZ,1.52
5QK0,1.44
5QK1,1.49
5QK3,1.71
5QK5,1.63
5QK7,1.66
5QK8,1.71
5QK9,1.56
5QKA,1.55
5Z2B,1.901
5Z2C,2.594
5Z2D,1.8
5Z2F,2.1
5Z2G,2.676
5Z2H,1.674
5Z2I,2.141
5Z2L,1.7
5Z2M,2.142
5Z2N,2.14
5Z2P,2.3
5Z2R,2.3
5Z2S,1.5
5Z2T,2.623
5Z2V,2.2
5Z2W,3
5Z30,2.45
5Z33,1.99
5Z34,2.399
5Z35,1.8
5Z37,1.3
5Z38,2.292
5Z3A,1.401
5Z3B,1.25
5Z3C,1.6
5Z3D,1.25
5Z3F,1.1
5Z3K,1.802
5Z3M,2.6
5Z3N,1.91
5Z3Q,2.545
5Z3R,2.42
5Z3S,1.65
5Z3W,2.29
5Z40,1.837
5Z41,1.7
5Z42,1.3
5Z43,2.361
5Z44,2.458
5Z45,2.601
5Z46,1.999
5Z48,1.551
5Z49,2.148
5Z4A,1.637
5Z4D,1.803
5Z4G,1.5
5Z4H,2
5Z4J,1.82
5Z4O,1.73
5Z4P,2.5
5Z4T,1.68
5Z4U,3.18
5Z4W,1.79
5Z4Z,2.053
5Z50,2.206
5Z51,1.583
5Z54,2.16
5Z59,1.703
5Z5A,1.8
5Z5B,2.3
5Z5C,2.07
5Z5E,2.098
5Z5F,2.1
5Z5H,1.9
5Z5I,1.7
5Z5J,2.15
5Z5L,2.3
5Z5M,1.85
5Z5N,2.04
5Z5O,1.92
5Z5P,1.4
5Z5S,1.8
5Z5T,1.991
5Z5U,1.631
5Z5V,1.66
5Z5Y,1.89
5Z65,2.65
5Z66,1.8
5Z68,3
5Z69,2.102
5Z6B,1.582
5Z6D,1.6
5Z6E,1.864
5Z6F,1.801
5Z6H,2.3
5Z6J,1.803
5Z6K,1.802
5Z6L,1.9
5Z6M,2.202
5Z6N,2.6
5Z6O,1.7
5Z6P,2.061
5Z6Q,3
5Z6S,1.8
5Z6T,2
5Z6U,1.95
5Z6V,1.87
5Z6Y,1.87
5Z70,2.91
5Z72,2.4
5Z73,1.93
5Z75,2.1
5Z76,2.8
5Z78,1.762
5Z79,2.9
5Z7A,2.38
5Z7B,2.1
5Z7C,2.76
5Z7D,4.504
5Z7E,1.8
5Z7F,1.9
5Z7H,2.5
5Z7I,1.601
5Z7J,1.98
5Z7L,2.02
5Z7M,2
5Z7O,2
5Z7P,2
5Z7Q,1.85
5Z7R,2.2
5Z7W,1.657
5Z7X,2.055
5Z7Z,1.978
5Z81,2.334
5Z82,1.694
5Z83,1.7
5Z87,2.3
5Z88,3
5Z8A,1.398
5Z8B,2.91
5Z8G,1.701
5Z8H,1.79
5Z8J,2.3
5Z8L,2.005
5Z8N,3.1
5Z8O,1.95
5Z8R,2
5Z8T,2.33
5Z8X,3.15
5Z8Z,1.8
5Z90,1.8
5Z93,1.945
5Z94,1.899
5Z95,1.2
5Z97,2.32
5Z98,2.2
5Z99,1.494
5Z9A,2.79
5Z9B,2.1
5Z9E,1.8
5Z9F,1.76
5Z9G,1.49
5Z9H,1.49
5Z9I,2.199
5Z9J,2
5Z9K,1.89
5Z9L,1.6
5Z9M,2.74
5Z9N,2.54
5Z9O,2.7
5Z9P,1.45
5Z9Q,1.8
5Z9R,2
5Z9S,2.3
5Z9X,2.8
5Z9Y,1.48
5Z9Z,2.049
5ZA1,2.52
5ZA2,1.503
5ZA3,1.5
5ZA7,1.7
5ZA8,1.9
5ZA9,1.62
5ZAB,2.147
5ZAC,2.59
5ZAD,2.54
5ZAE,1.73
5ZAF,1.65
