PDB,RES,SIM,SIMRES
6MEE,1.36,6UCF,1.29
6UCF,1.29,4NZU,1.2
3TL9,1.32,3NDU,1.25
3NDU,1.25,5YOK,0.85
5YOK,0.85,2HS1,0.84
4RAH,1.4,6PYW,1.38
6PYW,1.38,3IB4,1.25
3IB4,1.25,3CZF,1.2
3CZF,1.2,2YXF,1.13
2YXF,1.13,1K5N,1.09
6TDP,NONE,1K5N,
2GBJ,1.35,3A9J,1.18
3A9J,1.18,5GOD,1.15
5GOD,1.15,4XOF,1.15
4XOF,1.15,5GOD,1.15
6G5Y,1.49,4H9H,1.2
4H9H,1.2,4NG8,1.09
4NG8,1.09,3AJN,1.05
3AJN,1.05,5LXW,1
5LXW,1,6F1O,0.96
6F1O,0.96,3WL2,0.96
3WL2,0.96,3LZT,0.925
3LZT,0.925,2VB1,0.65
2V52,1.45,4B1Y,1.29
5ZXW,1.316,6B00,0.9
6B00,0.9,3KS3,0.9
3KS3,0.9,5Y2S,0.9
5Y2S,0.9,3K34,0.9
5AZZ,1.45,5ENA,1.35
5ENA,1.35,5E7W,0.9519
5E7W,0.9519,3W7Y,0.92
4XC4,1.499,3TT8,1.12
3TT8,1.12,1MSO,1
1MSO,1,3W7Y,0.92
5E4A,1.33,6R66,1.3
6R66,1.3,6R67,1.3
6R67,1.3,5CM1,1.22
5CM1,1.22,5CLZ,1.22
5CLZ,1.22,4D7B,1.15
4D7B,1.15,4KY2,1.13
4KY2,1.13,4QXV,1.12
4QXV,1.12,1F86,1.1
3FA0,1.09,5JDT,1
6EJ2,1.46,6UWP,1.29
4XOJ,0.91,5MNG,0.86
5MNG,0.86,4I8H,0.75
5PPX,1.44,5PT0,1.43
5PT0,1.43,5PSK,1.38
5PSK,1.38,5PQI,1.33
4XOV,1.2,6FWW,1.131
6FWW,1.131,4LQT,1.1
4LQT,1.1,4GF6,1.1
4GF6,1.1,4AS8,1.02
4AS8,1.02,5OXC,1.02
5OXC,1.02,6KL1,0.851
6KL1,0.851,6KL0,0.798
6KL0,0.798,6JGJ,0.78
3S66,1.401,2DN2,1.25
2DN2,1.25,2DN1,1.25
2DN1,1.25,1IRD,1.25
1IRD,1.25,2W72,1.07
3MRG,1.3,3MRE,1.1
5WDQ,1.25,5XCO,1.25
5XCO,1.25,4OBE,1.24
4OBE,1.24,4Q03,1.201
4Q03,1.201,4QL3,1.041
4QL3,1.041,6P0Z,1.011
6P0Z,1.011,2CE2,1
6I6E,1.2,6I69,1.2
5P17,1.399,5P0O,1.328
5P0O,1.328,5P7L,1.17
5P7L,1.17,4Y3S,1.1
4Y3S,1.1,5P5V,1.059
5P5V,1.059,5P73,1.019
5P73,1.019,1OEW,0.9
6Q4I,1.11,6Q4K,1.06
6Q4K,1.06,6Q4G,0.98
5NS9,1.44,5FTI,1.35
5FTI,1.35,5NIH,1.3
5NIH,1.3,5JEI,1.229
