PDB,RES,CLASS,COMPLEX,RVALUE,RFREE,OCCUPANCY,BFACTOR,HYDROGENS,STRUCFAC,CHAINS,RESIDUES,NUCLEOTIDES,DATE,COMMENTS
131D,1,DNA,N,0.180,NULL,N,0,N,N,AB,0,12,18-JUN-93,NA
145D,1.3,DNA,N,0.193,NULL,N,0,N,Y,A,0,16,11-NOV-93,NA
1A0M,1.1,ACETYLCHOLINERECEPTORANTAGONIST,N,0.161,0.178,Y,27.41,N,Y,AB,32,0,03-DEC-97,NA
1A7S,1.1,SERINEPROTEASEHOMOLOG,N,NULL,0.189,Y,60.89,N,Y,A,221,0,17-MAR-98,NA
1A7Y,0.94,ANTIBIOTIC,N,0.057,0.068,N,7.05,N,Y,ABC,12,0,19-MAR-98,NA
1A7Z,0.95,ANTIBIOTIC,N,0.081,0.097,N,4.83,N,Y,AB,2,0,19-MAR-98,NA
1AA5,0.89,ANTIBIOTIC,N,0.124,NULL,Y,13.69,Y,Y,AB,2,0,23-JAN-97,NA
1AHO,0.96,NEUROTOXIN,N,NULL,NULL,Y,22.58,Y,Y,A,64,0,08-APR-97,NA
1AKG,1.1,ACETYLCHOLINERECEPTORANTAGONIST,N,0.147,0.157,Y,23.02,N,Y,A,16,0,18-MAY-97,NA
1AL4,1.1,ANTIBIOTIC,N,0.087,0.121,Y,20.28,Y,Y,AB,16,0,11-JUN-97,NA
1ALX,1.2,ANTIBIOTIC,N,0.102,0.168,Y,20.92,Y,Y,A,16,0,05-JUN-97,NA
1ALZ,0.86,ANTIBIOTIC,N,0.162,0.185,Y,21.84,Y,Y,A,16,0,06-JUN-97,NA
1AMM,1.2,CRYSTALLIN,N,NULL,NULL,Y,0.79,N,N,A,174,0,20-MAR-96,NA
1ARB,1.2,HYDROLASE(SERINEPROTEASE),N,0.149,NULL,N,33.46,N,N,A,263,0,15-APR-93,NA
1ATG,1.2,BINDINGPROTEIN,N,NULL,0.183,Y,37.27,N,Y,A,231,0,14-AUG-97,NA
1B0Y,0.93,ELECTRONTRANSPORT,N,0.155,0.205,N,42.63,N,Y,A,85,0,15-NOV-98,NA
1B6G,1.1,HYDROLASE,N,0.105,0.145,Y,99.54,N,N,A,308,0,14-JAN-99,NA
1B9O,1.1,CALCIUM-BINDINGPROTEIN,N,0.119,0.162,Y,75.11,N,Y,A,123,0,14-FEB-99,NA
1BKR,1.1,ACTIN-BINDING,N,NULL,0.187,Y,92.4,N,Y,A,108,0,10-JUL-98,NA
1BX7,1.2,ANTI-COAGULANT,N,0.180,0.225,Y,68.79,N,Y,A,51,0,14-OCT-98,NA
1BXO,0.95,HYDROLASE,Y,0.100,0.125,Y,102.04,Y,Y,A,323,0,07-OCT-98,NA
1BYI,0.97,LIGASE,N,NULL,NULL,Y,59.8,N,Y,A,224,0,15-OCT-98,NA
1BYZ,0.9,DENOVOPROTEIN,N,0.086,0.105,Y,19.32,Y,Y,ABCD,48,0,20-OCT-98,NA
1C0P,1.2,OXIDOREDUCTASE,Y,0.125,0.150,Y,141.18,N,Y,A,363,0,19-JUL-99,NA
1C0Q,1,ANTIBIOTIC,Y,NULL,0.139,N,16.67,N,N,AB,2,0,20-JUL-99,NA
1C0R,1,ANTIBIOTIC,Y,NULL,0.142,N,16.51,N,N,AB,2,0,20-JUL-99,NA
1C52,1.3,ELECTRONTRANSPORTPROTEIN,N,0.191,0.224,Y,52.05,Y,N,A,131,0,23-JUN-97,NA
1C58,0.99,CARBOHYDRATE,N,0.082,0.100,N,0,N,N,AB,0,0,04-NOV-99,NA
1C75,0.97,ELECTRONTRANSPORT,N,0.116,NULL,Y,38.97,Y,Y,A,71,0,09-FEB-00,NA
1C7K,1,HYDROLASE,N,0.154,0.178,N,71.68,N,Y,A,132,0,19-FEB-00,NA
1CC8,1,METALTRANSPORT,N,0.141,0.172,N,46.87,N,N,A,72,0,04-MAR-99,NA
1CTJ,1.1,ELECTRONTRANSPORT,N,0.140,0.188,Y,68.36,N,Y,A,89,0,08-AUG-95,NA
1CXQ,1,TRANSFERASE,N,0.129,0.157,Y,71.22,N,Y,A,143,0,30-AUG-99,NA
1CY5,1.3,APOPTOSIS,N,NULL,0.199,Y,73.29,N,N,A,93,0,31-AUG-99,NA
1D11,1.2,DNA,N,0.175,NULL,N,0,N,N,A,0,6,20-OCT-89,NA
1D35,1.3,DNA,N,0.174,NULL,N,0,N,N,A,0,5,23-APR-91,NA
1D39,1.2,DNA,N,0.198,NULL,N,0,N,Y,AB,0,12,07-MAY-91,NA
1D40,1.3,DNA,N,0.209,NULL,N,0,N,Y,AB,0,8,07-MAY-91,NA
1D41,1.3,DNA,N,0.208,NULL,N,0,N,Y,AB,0,8,07-MAY-91,NA
1D48,1,DNA,N,0.185,NULL,N,0,N,N,AB,0,12,11-SEP-91,NA
1D4O,1.2,OXIDOREDUCTASE,N,0.167,0.223,Y,93.45,N,Y,A,177,0,04-OCT-99,NA
1D4T,1.1,SIGNALINGPROTEIN,Y,0.127,0.165,Y,67.94,N,Y,A,115,0,06-OCT-99,NA
1D5T,1,HYDROLASEINHIBITOR,N,NULL,0.208,Y,97.37,N,Y,A,433,0,11-OCT-99,NA
1D61,1.3,DNA,N,0.152,NULL,N,0,N,Y,A,0,10,26-FEB-92,NA
1D76,1.3,DNA,N,0.138,NULL,N,0,N,Y,AB,0,10,19-MAY-92,NA
1D8G,0.74,DNA,N,0.105,0.131,N,0,N,Y,A,0,10,23-OCT-99,NA
1D8X,1.2,DNA,N,0.188,0.246,N,0,N,Y,AB,0,20,26-OCT-99,NA
1DC0,1.3,DNA,N,0.172,0.190,N,0,N,Y,AB,0,24,03-NOV-99,NA
1DCG,1,DNA,N,0.175,NULL,N,0,N,N,AB,0,12,29-AUG-88,NA
1DCS,1.3,OXIDOREDUCTASE,N,NULL,0.150,Y,80.12,N,Y,A,279,0,05-JUN-98,NA
1DG6,1.3,APOPTOSIS,N,NULL,0.197,Y,74.39,N,Y,A,149,0,23-NOV-99,NA
1DJ6,1,DNA,Y,0.169,0.169,N,0,N,Y,AB,0,12,01-DEC-99,NA
1DPL,0.83,DNA,N,0.117,0.121,N,0,N,Y,AB,0,18,27-DEC-99,NA
1DPN,0.95,DNA,N,0.160,0.159,N,0,N,Y,NA,0,22,27-DEC-99,NA
1DS1,1.1,OXIDOREDUCTASELYASE,Y,NULL,0.166,N,88.74,N,N,A,323,0,06-JAN-00,NA
1E29,1.2,ELECTRONTRANSPORT,N,0.153,0.212,Y,96.18,N,Y,A,135,0,19-MAY-00,NA
1E4M,1.2,HYDROLASE,N,NULL,0.142,Y,54.72,N,Y,M,499,0,10-JUL-00,NA
1E58,1.3,ISOMERASE,N,0.121,0.168,Y,79.2,N,Y,A,246,0,19-JUL-00,NA
1E9W,1,ANTIBIOTIC,N,0.112,0.142,N,20.14,N,Y,A,6,0,27-OCT-00,NA
1EB6,1,HYDROLASE,N,NULL,0.126,Y,39.04,N,Y,A,177,0,19-JUL-01,NA
1EM0,0.9,DNA,Y,0.151,0.172,N,0,N,Y,ABCD,0,20,14-MAR-00,NA
1EN3,0.98,DNA,N,NULL,0.159,N,0,N,Y,A,0,10,20-MAR-00,NA
