PDB,RES,CLASS,COMPLEX,RVALUE,RFREE,OCCUPANCY,STRUCFAC,CHAINS,RESIDUES,DATE,COMMENTS
427D,1.1,DNA,N,0.102,NULL,T,Y,A,5,21-SEP-98,NA
431D,1.1,DNA,N,0.172,NULL,T,Y,AB,20,09-OCT-98,NA
434D,1.2,RNA,N,0.125,0.180,F,Y,AC,28,23-OCT-98,NA
436D,1.1,DNA,N,0.162,NULL,F,Y,AB,22,12-NOV-98,NA
440D,1.1,DNA,N,NULL,0.251,F,Y,AB,20,13-JAN-99,NA
454D,1.2,DNA,N,NULL,0.210,T,N,ABCDEFGHIJ,70,03-MAR-99,NA
460D,1.2,DNA,N,0.179,NULL,T,Y,NA,22,12-MAR-99,NA
464D,1.2,RNA,N,0.129,0.193,F,Y,AC,26,14-APR-99,NA
466D,1.2,RNA,N,0.150,0.240,T,Y,AC,28,14-APR-99,NA
476D,1.3,DNA,N,0.182,0.220,F,Y,AB,22,25-JUN-99,NA
483D,1.1,RNA,N,0.156,0.202,T,Y,A,27,23-JUL-99,NA
485D,0.97,DNA/RNAHYBRID,N,0.150,0.195,F,Y,AB,18,13-AUG-99,NA
4A02,0.95,CHITINBINDINGPROTEIN,N,NULL,0.1158,T,Y,A,166,07-SEP-11,NA
4A4J,1.3,HYDROLASE,N,0.14476,0.17988,T,Y,A,69,14-OCT-11,NA
4A56,1.2,PROTEINTRANSPORT,N,0.17406,0.18975,T,Y,A,93,24-OCT-11,NA
4A9V,1.1,HYDROLASE,N,0.118,0.117,T,Y,A,581,28-NOV-11,NA
4AAN,1.2,OXIDOREDUCTASE,N,0.14788,0.16624,T,Y,A,323,05-DEC-11,NA
4AC1,1.3,HYDROLASE,N,0.185,0.202,T,Y,X,283,12-DEC-11,NA
4ACJ,0.97,IMMUNESYSTEM,N,0.119,0.138,T,Y,A,167,15-DEC-11,NA
4AFF,1.1,SIGNALINGPROTEIN,Y,0.13,0.14,T,Y,A,110,19-JAN-12,NA
4AFM,1.3,HYDROLASE,N,0.159,0.173,T,Y,A,125,19-JAN-12,NA
4AGZ,1.3,DNA,Y,0.158,0.207,T,Y,AB,24,02-FEB-12,NA
4AH0,1.2,DNA,Y,0.155,0.203,F,Y,AB,24,02-FEB-12,NA
4AL0,1.2,ISOMERASE,N,0.12231,0.12964,T,Y,A,146,29-FEB-12,NA
4AM1,1.3,TRANSFERASE,N,0.1607,0.1968,T,Y,A,345,07-MAR-12,NA
4ANN,1.1,MEMBRANEPROTEIN,N,0.138,0.181,T,Y,A,176,21-MAR-12,NA
4AOH,1,HYDROLASE,N,0.1698,0.1879,T,Y,A,123,27-MAR-12,NA
4AQO,0.99,HYDROLASE,N,0.12515,0.14998,T,Y,A,86,19-APR-12,NA
4ASL,1.2,CELLADHESION,Y,0.119,0.155,T,Y,A,229,02-MAY-12,NA
4ATE,1.1,HYDROLASE,N,0.125,0.152,T,Y,A,256,06-MAY-12,NA
4AWT,0.98,OXIDOREDUCTASE,N,NULL,0.106,T,Y,A,363,05-JUN-12,NA
4AXY,1.2,STRUCTURALPROTEIN,N,0.1511,0.1728,T,Y,ABC,54,15-JUN-12,NA
4AYP,0.85,HYDROLASE,N,0.09692,0.10555,T,Y,A,434,21-JUN-12,NA
4B1Y,1.3,STRUCTURALPROTEIN,N,0.152,0.174,T,Y,B,394,12-JUL-12,NA
4B50,1.3,IMMUNESYSTEM,N,0.14680,0.17963,T,Y,A,113,02-AUG-12,NA
4B5N,1.1,OXIDOREDUCTASE,N,0.127,0.141,T,Y,A,354,07-AUG-12,NA
4B5O,1.1,TRANSFERASE,N,0.1320,0.1574,T,Y,A,192,07-AUG-12,NA
4B97,1.3,SUGARBINDINGPROTEIN,N,0.1405,0.1564,T,Y,A,151,03-SEP-12,NA
4B9C,1.2,CARBOHYDRATE-BINDINGPROTEIN,N,0.1704,0.1853,T,Y,A,150,04-SEP-12,NA
4B9P,1.2,CARBOHYDRATE-BINDINGPROTEIN,N,0.1254,0.1499,T,Y,A,166,06-SEP-12,NA
4BAT,1.3,HYDROLASE,N,0.12269,0.14268,T,Y,A,296,16-SEP-12,NA
4BCT,0.98,ALLERGEN,N,0.11406,0.13125,T,Y,A,201,03-OCT-12,NA
4BEU,1.1,TRANSFERASE,N,0.164,0.173,T,Y,A,392,12-MAR-13,NA
4BFH,1.3,HYDROLASEINHIBITOR,N,0.15787,0.15927,F,Y,A,30,19-MAR-13,NA
4BFO,1.2,HYDROLASE,N,0.1571,0.1693,F,Y,A,106,21-MAR-13,NA
4BGC,1.2,TRANSPORTPROTEIN,N,0.16499,0.20463,T,Y,A,101,25-MAR-13,NA
4BJ0,1,HYDROLASE,Y,0.115,0.129,T,Y,A,167,15-APR-13,NA
4BK7,1.1,ALLERGEN,N,0.13656,0.17545,T,Y,A,159,22-APR-13,NA
4BN4,1.3,HYDROLASE,Y,0.13993,0.17950,T,Y,NA,272,13-MAY-13,NA
4BPF,1,LIGASE,N,0.1302,0.1560,T,Y,A,85,26-MAY-13,NA
