PDB,RES,CLASS,COMPLEX,RVALUE,RFREE,STRUCFAC,CHAINS,DATE,COMMENTS
131D,1,DNA,N,0.180,NULL,N,AB,18-JUN-93,NA
145D,1.3,DNA,N,0.193,NULL,Y,A,11-NOV-93,NA
1A0M,1.1,ACETYLCHOLINERECEPTORANTAGONIST,N,0.161,0.178,Y,AB,03-DEC-97,NA
1A6G,1.1,HEMEPROTEIN,N,0.128,0.160,Y,A,25-FEB-98,NA
1A7S,1.1,SERINEPROTEASEHOMOLOG,N,NULL,0.189,Y,A,17-MAR-98,NA
1A7Y,0.94,ANTIBIOTIC,N,0.057,0.068,Y,ABC,19-MAR-98,NA
1A7Z,0.95,ANTIBIOTIC,N,0.081,0.097,Y,AB,19-MAR-98,NA
1AA5,0.89,ANTIBIOTIC,N,0.124,NULL,Y,AB,23-JAN-97,NA
1AGY,1.1,SERINEESTERASE,N,0.175,0.197,Y,A,26-MAR-97,NA
1AHO,0.96,NEUROTOXIN,N,NULL,NULL,Y,A,08-APR-97,NA
1AKG,1.1,ACETYLCHOLINERECEPTORANTAGONIST,N,0.147,0.157,Y,A,18-MAY-97,NA
1AL4,1.1,ANTIBIOTIC,N,0.087,0.121,Y,AB,11-JUN-97,NA
1ALX,1.2,ANTIBIOTIC,N,0.102,0.168,Y,A,05-JUN-97,NA
1ALZ,0.86,ANTIBIOTIC,N,0.162,0.185,Y,A,06-JUN-97,NA
1AMM,1.2,CRYSTALLIN,N,NULL,NULL,N,A,20-MAR-96,NA
1ARB,1.2,HYDROLASE(SERINEPROTEASE),N,0.149,NULL,N,A,15-APR-93,NA
1ATG,1.2,BINDINGPROTEIN,N,NULL,0.183,Y,A,14-AUG-97,NA
1B0Y,0.93,ELECTRONTRANSPORT,N,0.155,0.205,Y,A,15-NOV-98,NA
1B6G,1.1,HYDROLASE,N,0.105,0.145,N,A,14-JAN-99,NA
1B9O,1.1,CALCIUM-BINDINGPROTEIN,N,0.119,0.162,Y,A,14-FEB-99,NA
1BKR,1.1,ACTIN-BINDING,N,NULL,0.187,Y,A,10-JUL-98,NA
1BX7,1.2,ANTI-COAGULANT,N,0.180,0.225,Y,A,14-OCT-98,NA
1BXO,0.95,HYDROLASE,Y,0.100,0.125,Y,A,07-OCT-98,NA
1BYI,0.97,LIGASE,N,NULL,NULL,Y,A,15-OCT-98,NA
1BYZ,0.9,DENOVOPROTEIN,N,0.086,0.105,Y,ABCD,20-OCT-98,NA
1C0P,1.2,OXIDOREDUCTASE,Y,0.125,0.150,Y,A,19-JUL-99,NA
1C0Q,1,ANTIBIOTIC,Y,NULL,0.139,N,AB,20-JUL-99,NA
1C0R,1,ANTIBIOTIC,Y,NULL,0.142,N,AB,20-JUL-99,NA
1C1D,1.3,OXIDOREDUCTASE,Y,0.195,0.238,N,A,21-JUL-99,NA
1C52,1.3,ELECTRONTRANSPORTPROTEIN,N,0.191,0.224,N,A,23-JUN-97,NA
1C58,0.99,CARBOHYDRATE,N,0.082,0.100,N,AB,04-NOV-99,NA
1C5E,1.1,VIRALPROTEIN,N,0.098,0.133,Y,ABC,18-NOV-99,NA
1C75,0.97,ELECTRONTRANSPORT,N,0.116,NULL,Y,A,09-FEB-00,NA
1C7K,1,HYDROLASE,N,0.154,0.178,Y,A,19-FEB-00,NA
1C9O,1.2,TRANSCRIPTION,N,0.125,0.179,Y,AB,03-AUG-99,NA
1CBN,0.83,PLANTSEEDPROTEIN,N,0.106,NULL,N,A,11-OCT-91,NA
1CC8,1,METALTRANSPORT,N,0.141,0.172,N,A,04-MAR-99,NA
1CEX,1,SERINEESTERASE,N,0.094,0.119,Y,A,18-FEB-97,NA
1CKU,1.2,ELECTRONTRANSFERPROTEIN,N,0.128,0.178,Y,AB,24-APR-99,NA
1CTJ,1.1,ELECTRONTRANSPORT,N,0.140,0.188,Y,A,08-AUG-95,NA
1CTQ,1.3,SIGNALINGPROTEIN,Y,0.177,0.224,Y,A,20-AUG-99,NA
