PDB,RES,CLASS,COMPLEX,RVALUE,RFREE,OCCUPANCY,STRUCFAC,CHAINS,RESIDUES,DATE,COMMENTS
131D,1,DNA,N,0.180,NULL,F,N,AB,12,18-JUN-93,NA
145D,1.3,DNA,N,0.193,NULL,T,Y,A,16,11-NOV-93,NA
1A0M,1.1,ACETYLCHOLINERECEPTORANTAGONIST,N,0.161,0.178,T,Y,AB,32,03-DEC-97,NA
1A7S,1.1,SERINEPROTEASEHOMOLOG,N,NULL,0.189,T,Y,A,221,17-MAR-98,NA
1A7Y,0.94,ANTIBIOTIC,N,0.057,0.068,F,Y,ABC,12,19-MAR-98,NA
1A7Z,0.95,ANTIBIOTIC,N,0.081,0.097,F,Y,AB,2,19-MAR-98,NA
1AA5,0.89,ANTIBIOTIC,N,0.124,NULL,T,Y,AB,2,23-JAN-97,NA
1AHO,0.96,NEUROTOXIN,N,NULL,NULL,T,Y,A,64,08-APR-97,NA
1AKG,1.1,ACETYLCHOLINERECEPTORANTAGONIST,N,0.147,0.157,T,Y,A,16,18-MAY-97,NA
1AL4,1.1,ANTIBIOTIC,N,0.087,0.121,T,Y,AB,16,11-JUN-97,NA
1ALX,1.2,ANTIBIOTIC,N,0.102,0.168,T,Y,A,16,05-JUN-97,NA
1ALZ,0.86,ANTIBIOTIC,N,0.162,0.185,T,Y,A,16,06-JUN-97,NA
1AMM,1.2,CRYSTALLIN,N,NULL,NULL,T,N,A,174,20-MAR-96,NA
1ARB,1.2,HYDROLASE(SERINEPROTEASE),N,0.149,NULL,F,N,A,263,15-APR-93,NA
1ATG,1.2,BINDINGPROTEIN,N,NULL,0.183,T,Y,A,231,14-AUG-97,NA
1B0Y,0.93,ELECTRONTRANSPORT,N,0.155,0.205,F,Y,A,85,15-NOV-98,NA
1B6G,1.1,HYDROLASE,N,0.105,0.145,T,N,A,308,14-JAN-99,NA
1B9O,1.1,CALCIUM-BINDINGPROTEIN,N,0.119,0.162,T,Y,A,123,14-FEB-99,NA
1BKR,1.1,ACTIN-BINDING,N,NULL,0.187,T,Y,A,108,10-JUL-98,NA
1BX7,1.2,ANTI-COAGULANT,N,0.180,0.225,T,Y,A,51,14-OCT-98,NA
1BXO,0.95,HYDROLASE,Y,0.100,0.125,T,Y,A,323,07-OCT-98,NA
1BYI,0.97,LIGASE,N,NULL,NULL,T,Y,A,224,15-OCT-98,NA
1BYZ,0.9,DENOVOPROTEIN,N,0.086,0.105,T,Y,ABCD,48,20-OCT-98,NA
1C0P,1.2,OXIDOREDUCTASE,Y,0.125,0.150,T,Y,A,363,19-JUL-99,NA
1C0Q,1,ANTIBIOTIC,Y,NULL,0.139,F,N,AB,2,20-JUL-99,NA
1C0R,1,ANTIBIOTIC,Y,NULL,0.142,F,N,AB,2,20-JUL-99,NA
1C52,1.3,ELECTRONTRANSPORTPROTEIN,N,0.191,0.224,T,N,A,131,23-JUN-97,NA
1C58,0.99,CARBOHYDRATE,N,0.082,0.100,F,N,AB,0,04-NOV-99,NA
1C75,0.97,ELECTRONTRANSPORT,N,0.116,NULL,T,Y,A,71,09-FEB-00,NA
1C7K,1,HYDROLASE,N,0.154,0.178,F,Y,A,132,19-FEB-00,NA
1CC8,1,METALTRANSPORT,N,0.141,0.172,F,N,A,72,04-MAR-99,NA
1CTJ,1.1,ELECTRONTRANSPORT,N,0.140,0.188,T,Y,A,89,08-AUG-95,NA
1CXQ,1,TRANSFERASE,N,0.129,0.157,T,Y,A,143,30-AUG-99,NA
