PDB,RES
131D,1
145D,1.3
1A0M,1.1
1A7S,1.1
1A7Y,0.94
1A7Z,0.95
1AA5,0.89
1AHO,0.96
1AKG,1.1
1AL4,1.1
1ALX,1.2
1ALZ,0.86
1AMM,1.2
1ARB,1.2
1ATG,1.2
1B0Y,0.93
1B6G,1.1
1B9O,1.1
1BKR,1.1
1BX7,1.2
1BXO,0.95
1BYI,0.97
1BYZ,0.9
1C0P,1.2
1C0Q,1
1C0R,1
1C52,1.3
1C58,0.99
1C75,0.97
1C7K,1
1CC8,1
1CTJ,1.1
1CXQ,1
1CY5,1.3
1D11,1.2
1D35,1.3
1D39,1.2
1D40,1.3
1D41,1.3
1D48,1
1D4O,1.2
1D4T,1.1
1D5T,1
1D61,1.3
1D76,1.3
1D8G,0.74
1D8X,1.2
1DC0,1.3
1DCG,1
1DCS,1.3
1DG6,1.3
1DJ6,1
1DPL,0.83
1DPN,0.95
1DS1,1.1
1E29,1.2
1E4M,1.2
1E58,1.3
1E9W,1
1EB6,1
1EM0,0.9
1EN3,0.98
1EN8,0.98
1EN9,0.98
1ENE,0.98
1ENN,0.89
1ES9,1.3
1ETL,0.89
1ETM,0.89
1ETN,0.89
1EU1,1.3
1EUW,1.1
1F27,1.3
1F94,0.97
1F9V,1.3
1FCY,1.3
1FD5,1.1
1FK5,1.3
1FQ2,1.2
1FUS,1.3
1G2B,1.1
1G4Q,1.1
1G66,0.9
1G6X,0.86
1G9W,1.3
1GA6,1
1GCI,0.78
1GHG,0.98
1GK9,1.3
1GKM,1
1GMX,1.1
1GNT,1.3
1GO6,0.98
1GWE,0.88
1GWM,1.1
1GXT,1.3
1H12,1.2
1H4A,1.1
1HDO,1.1
1HG7,1.1
1HH3,1
1HHC,1.1
1HHU,0.89
1HHY,0.89
1HHZ,0.99
1HJ8,1
1HJE,0.75
1HQJ,1.2
1I0J,1.1
1I0K,1.1
1I0M,1.1
1I0N,1.3
1I0P,1.3
1I0Q,1.3
1I0T,0.6
1I0V,1.2
1I1W,0.89
1I24,1.2
1I27,1
1I2T,1
1I7J,1.2
1I8O,1.1
1ICK,0.95
1IFC,1.2
1IQZ,0.92
1IRO,1.1
1ITT,1
1ITX,1.1
1IXH,0.98
1J0P,0.91
1J8G,0.61
1J98,1.2
1JBE,1.1
1JET,1.2
1JF8,1.1
1JFB,1
1JG1,1.2
1JGR,1.2
1JL1,1.3
1JM1,1.1
1JND,1.3
1JNI,1.3
1JO8,1.3
1K3X,1.3
1K4I,0.98
1K5C,0.96
1K5N,1.1
1K7C,1.1
1K8U,1.1
1KA1,1.3
1KGK,1
1KMV,1.1
1KNG,1.1
1KQ6,1.2
1KT6,1.1
1KTH,0.95
1KWF,0.94
1KYF,1.2
1L2X,1.3
1L3K,1.1
1L9L,0.92
1LB3,1.2
1LC0,1.2
1LF7,1.2
1LKK,1
1LS1,1.1
1LS9,1.3
1LU4,1.1
1LWB,1.1
1LZL,1.3
1M15,1.2
1M1Q,0.97
1M24,0.9
1M40,0.85
1M4L,1.3
1M69,1.1
1M77,1.3
1M9Z,1.1
1MA8,1.3
1MC2,0.85
1MEX,1.3
1MF5,1.1
1MF7,1.3
1MJ4,1.2
1MJ5,0.95
1MJN,1.3
1MJU,1.2
1MLX,1.3
1MQK,1.3
1MUN,1.2
1MUW,0.86
1N1O,1.2
1N3L,1.2
1N40,1.1
1N7A,1.2
1N9B,0.9
1NCW,1.3
1NKD,1.1
1NNF,1.1
1NOT,1.2
1NPI,1.2
1NUY,1.3
1NWZ,0.82
1O0K,1.2
1O55,1
1O56,0.9
1O8X,1.3
1OAA,1.3
