PDB,RES,CLASS,COMPLEX,RVALUE,RFREE,OCCUPANCY, BFACTOR ,HYDROGENS,STRUCFAC,CHAINS, RESIDUES , NUCLEOTIDES ,DATE,COMMENTS
2O6N,1.1,DENOVOPROTEIN,N,0.116,0.132,Y, 26 ,Y,Y,A, 31 , -   ,07-Dec-06,NA
4D5M,0.85,HORMONE,N,0.08,0.087,Y, 5 ,Y,Y,ABCD, 32 , -   ,05-Nov-14,NA
4NAG,0.81,BIOSYNTHETICPROTEIN,N,0.054,NULL,Y, 13 ,Y,Y,AB, 32 , -   ,22-Oct-13,NA
1A0M,1.1,ACETYLCHOLINERECEPTORANTAGONIST,N,0.161,0.178,Y, 27 ,N,Y,AB, 32 , -   ,03-Dec-97,NA
2IZQ,0.8,ANTIBIOTIC,Y,0.111,0.122,Y, 29 ,Y,N,ABCD, 32 , -   ,26-Jul-06,NA
1W5U,1.1,ANTIBIOTIC,N,0.173,0.215,Y, 34 ,N,Y,ABCD, 32 , -   ,10-Aug-04,NA
3L8L,1.3,ANTIBIOTIC,Y,0.164,NULL,Y, 35 ,N,Y,AC, 32 , -   ,31-Dec-09,NA
2WQ1,1.1,TRANSCRIPTION,N,0.12938,0.16748,Y, 41 ,N,Y,A, 32 , -   ,12-Aug-09,NA
4RBX,1.1,ANTIMICROBIALPROTEIN,N,0.186,0.188,Y, 41 ,Y,Y,A, 32 , -   ,13-Sep-14,NA
6Q5Q,1.1,DENOVOPROTEIN,N,0.135,0.147,Y, 72 ,N,Y,A, 32 , -   ,09-Dec-18,NA
1WY3,0.95,STRUCTURALPROTEIN,N,NULL,0.171,Y, 55 ,Y,Y,A, 34 , -   ,04-Feb-05,NA
5NMN,0.95,ANTIMICROBIALPROTEIN,N,0.156,0.154,Y, 134 ,Y,Y,A, 34 , -   ,06-Apr-17,NA
3TQ2,1.1,DENOVOPROTEIN,N,0.188,0.185,N, 86 ,N,Y,A, 35 , -   ,09-Sep-11,NA
2BF9,0.99,HORMONE,N,0.137,0.179,Y, 108 ,Y,Y,A, 35 , -   ,06-Dec-04,NA
3Q8J,0.87,TOXIN,N,0.093,NULL,N, 21 ,Y,Y,A, 36 , -   ,06-Jan-11,NA
1T7H,1.1,SIGNALINGPROTEIN,N,0.122,0.134,Y, 24 ,N,Y,AB, 36 , -   ,10-May-04,NA
2NLS,0.98,ANTIMICROBIALPROTEIN,N,0.106,0.124,Y, 26 ,N,Y,A, 36 , -   ,20-Oct-06,NA
4HGU,0.98,HYDROLASEINHIBITOR,N,0.106,0.129,Y, 31 ,N,Y,A, 40 , -   ,08-Oct-12,NA
6JK2,1.1,SUGARBINDINGPROTEIN,N,0.137,0.158,N, 33 ,N,Y,A, 40 , -   ,27-Feb-19,NA
6E6O,0.7,SIGNALINGPROTEIN,N,0.166,0.184,Y, 33 ,N,Y,A, 40 , -   ,25-Jul-18,NA
1P9G,0.84,ANTIFUNGALPROTEIN,N,0.068,0.079,Y, 38 ,Y,Y,A, 40 , -   ,12-May-03,NA
3E7R,1,ANTIMICROBIALPROTEIN,N,0.203,0.224,Y, 40 ,N,Y,L, 40 , -   ,18-Aug-08,NA
1USE,1.3,SIGNALINGPROTEIN,N,0.175,0.196,Y, 42 ,N,Y,A, 40 , -   ,21-Nov-03,NA
2XJI,1,OXIDOREDUCTASE,N,NULL,0.129,Y, 23 ,N,Y,ABCDEF, 42 , -   ,06-Jul-10,NA
5AL6,0.8,STRUCTURALPROTEIN,N,0.107,0.116,Y, 83 ,Y,Y,A, 44 , -   ,06-Mar-15,NA
6PSA,1.3,VIRALPROTEIN/INHIBITOR,Y,0.18,0.217,N, 59 ,Y,Y,H, 45 , -   ,12-Jul-19,NA
3NIR,0.48,PLANTPROTEIN,N,0.127,NULL,Y, 26 ,Y,Y,A, 46 , -   ,16-Jun-10,NA
1BYZ,0.9,DENOVOPROTEIN,N,0.086,0.105,Y, 19 ,Y,Y,ABCD, 48 , -   ,20-Oct-98,NA
2Y5M,1.1,ANTIBIOTIC,N,0.132,0.155,Y, 32 ,N,Y,ABCDEF, 48 , -   ,14-Jan-11,NA
3V1A,0.98,DENOVOPROTEINMETALBINDINGPROTEIN,N,0.095,0.113,Y, 33 ,Y,Y,A, 48 , -   ,09-Dec-11,NA
2Y6N,1.3,ANTIBIOTIC,N,0.149,0.17,Y, 33 ,N,Y,ABCDEF, 48 , -   ,25-Jan-11,NA
5K2L,1.2,HYDROLASE,N,0.141,0.18,Y, 37 ,N,Y,A, 49 , -   ,19-May-16,NA
3A02,1,GENEREGULATION,N,0.173,0.184,Y, 39 ,N,Y,A, 51 , -   ,28-Feb-09,NA
1RB9,0.92,IRON-SULFURPROTEIN,N,0.073,NULL,Y, 39 ,Y,Y,A, 51 , -   ,21-Dec-97,NA
1BX7,1.2,ANTI-COAGULANT,N,0.18,0.225,Y, 69 ,N,Y,A, 51 , -   ,14-Oct-98,NA
2DSX,0.68,ELECTRONTRANSPORT,N,0.103,0.111,Y, 41 ,N,N,A, 52 , -   ,07-Jul-06,NA
1YK4,0.69,ELECTRONTRANSPORT,N,0.1,0.108,Y, 88 ,Y,Y,A, 52 , -   ,17-Jan-05,NA
5TAB,1.3,TRANSCRIPTION,N,0.121,0.144,Y, 39 ,N,Y,A, 53 , -   ,09-Sep-16,NA
1IRO,1.1,ELECTRONTRANSPORT,N,NULL,NULL,Y, 71 ,Y,Y,A, 53 , -   ,13-Dec-95,NA
3WWL,1.2,METALBINDINGPROTEIN,N,0.146,0.155,N, 28 ,N,Y,A, 54 , -   ,21-Jun-14,NA
4AXY,1.2,STRUCTURALPROTEIN,N,0.1511,0.1728,Y, 41 ,Y,Y,ABC, 54 , -   ,15-Jun-12,NA
5NW3,0.59,ELECTRONTRANSPORT,N,0.135,0.146,Y, 146 ,N,Y,A, 54 , -   ,04-May-17,NA
2FDN,0.94,ELECTRONTRANSPORT,N,NULL,NULL,Y, 34 ,Y,Y,A, 55 , -   ,01-Oct-97,NA
1ZUU,0.97,UNKNOWNFUNCTION,N,0.124,0.142,Y, 24 ,N,Y,A, 56 , -   ,01-Jun-05,NA
2QMT,1.1,IMMUNESYSTEM,N,0.185,0.207,N, 73 ,N,Y,A, 56 , -   ,16-Jul-07,NA
3NGP,1.1,STRUCTURALPROTEIN,N,0.169,0.185,Y, 50 ,N,Y,A, 57 , -   ,12-Jun-10,NA
5M4V,1.1,TOXIN,N,0.132,0.156,Y, 68 ,N,Y,A, 57 , -   ,19-Oct-16,NA
6AT0,1.3,TRANSCRIPTION,N,0.242,0.26,Y, 95 ,N,Y,A, 57 , -   ,27-Aug-17,NA
4NPD,0.9,PROTEINBINDING,N,0.113,0.13,Y, 24 ,Y,Y,A, 58 , -   ,21-Nov-13,NA
1JO8,1.3,STRUCTURALPROTEIN,N,0.145,0.178,Y, 27 ,N,Y,A, 58 , -   ,27-Jul-01,NA
2RH2,0.96,OXIDOREDUCTASE,N,0.104,0.117,Y, 35 ,Y,Y,A, 58 , -   ,05-Oct-07,NA
5EQ0,1.2,TRANSCRIPTION/TRANSCRIPTIONINHIBITOR,Y,0.158,0.186,Y, 38 ,N,Y,A, 58 , -   ,12-Nov-15,NA
1G6X,0.86,HYDROLASEINHIBITOR,N,0.107,0.14,Y, 44 ,N,Y,A, 58 , -   ,08-Nov-00,NA
1KTH,0.95,STRUCTURALPROTEIN,N,0.139,0.167,Y, 58 ,N,Y,A, 58 , -   ,16-Jan-02,NA
1ZLM,1.1,SIGNALINGPROTEIN,N,0.16,0.212,N, 58 ,N,Y,A, 58 , -   ,06-May-05,NA
5QU8,0.93,SIGNALINGPROTEIN,N,0.151,0.182,Y, 104 ,N,Y,A, 58 , -   ,28-Jan-20,NA
